seccion_censal;cod_pos;cod_ine
0301407006;03006;03014
0301407007;03006;03014
0301407008;03006;03014
0301407009;03007;03014
0301407009;03006;03014
0301407010;03007;03014
0301407011;03007;03014
0301407012;03007;03014
0301407013;03006;03014
0301407014;03006;03014
0301407016;03006;03014
0301407017;03006;03014
0301407017;03007;03014
0301407018;03007;03014
0301407018;03006;03014
0301407019;03007;03014
0301407020;03008;03014
0301407020;03007;03014
0301407022;03006;03014
0301407024;03006;03014
0301407025;03006;03014
0301407026;03006;03014
0301407027;03007;03014
0301408001;03007;03014
0301408001;03008;03014
0301408002;03007;03014
0301408003;03007;03014
0301408004;03007;03014
0301408005;03007;03014
0301408005;03008;03014
0301408006;03008;03014
0301408006;03007;03014
0301408007;03007;03014
0301408008;03007;03014
0301408009;03007;03014
0301408010;03008;03014
0301408011;03008;03014
0301408012;03008;03014
0301408013;03008;03014
0301408014;03008;03014
0301408014;03138;03014
0301408015;03114;03014
0301408015;03113;03014
0301408015;03699;03014
0301408016;03699;03014
0301408016;03409;03014
0301408016;03113;03014
0301408017;03007;03014
0301408017;03008;03014
0301408018;03008;03014
0301408018;03006;03014
0301408019;03008;03014
0301408021;03007;03014
0301408022;03008;03014
0301408023;03699;03014
0301408024;03008;03014
0301408025;03008;03014
0301408026;03008;03014
0301408027;03008;03014
0301408028;03008;03014
0301408029;03699;03014
0301408029;03114;03014
0301408029;03113;03014
0301408030;03008;03014
0301501001;03160;03015
0301501002;03160;03015
0301501003;03160;03015
0301501004;03160;03015
0301501005;03160;03015
0301501006;03160;03015
0301501007;03160;03015
0301501008;03160;03015
0301501009;03160;03015
0301502002;03160;03015
0301502002;03179;03015
0301502003;03160;03015
0301601001;03827;03016
0301701001;03829;03017
0301801001;03590;03018
0301801002;03590;03018
0301801003;03590;03018
0301801004;03590;03018
0301801005;03590;03018
0301802001;03590;03018
0301802002;03590;03018
0301802003;03590;03018
0301802004;03590;03018
0301803001;03590;03018
0301803002;03590;03018
0301803002;03599;03018
0301803003;03590;03018
0301803004;03590;03018
0301803005;03599;03018
0301803005;03590;03018
0301901001;03680;03019
0301901002;03680;03019
0301901003;03680;03019
0301901004;03680;03019
0301901005;03680;03019
0301902001;03680;03019
0301902002;03680;03019
0301902003;03680;03019
0301902004;03680;03019
0301903001;03680;03019
0301903002;03680;03019
0301903003;03680;03019
0301903004;03680;03019
0301903005;03680;03019
0301903006;03680;03019
0301904001;03680;03019
0301904002;03680;03019
0301904003;03680;03019
0301904004;03680;03019
0302001001;03812;03020
0302101001;03450;03021
0302101002;03450;03021
0302101003;03450;03021
0302102001;03450;03021
0302102002;03450;03021
0302102003;03450;03021
0302201001;03814;03022
0302301001;03460;03023
0302301001;03469;03023
0302401001;03390;03024
0302401002;03390;03024
0302401003;03390;03024
0302401004;03390;03024
0302501001;03316;03025
0302601001;03778;03026
0302601001;03759;03026
0302701001;03517;03027
0302801001;03850;03028
0302901001;03794;03029
0303001001;03759;03030
